,Course Title,Course Type,University,Location,Subject,Beginning,Tuition Fee,Language,Duration,Link
0,Computer Science,Master's degree,Kiel University of Applied Sciences,Kiel,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9058/
1,Computer Science,Master's degree,University of Siegen,Siegen,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4591/
2,Computer Science,Master's degree,University of Bonn,Bonn,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7606/
3,Master of Science in Computer Science,Master's degree,Paderborn University,Paderborn,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5616/
4,MSc Applied Computer Science,Master's degree,Deggendorf Institute of Technology,Deggendorf,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4870/
5,Master of Science in Computer Science,Master's degree,Bingen Technical University of Applied Sciences,Bingen am Rhein,Computer Science,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8324/
6,Master of Science in Computer Science,Master's degree,University of Passau,Passau,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4455/
7,Computer Science (Master of Science),Master's degree,RPTU University of Kaiserslautern-Landau,Kaiserslautern,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3629/
8,Computer Science – Master of Science,Master's degree,Leibniz Universität Hannover,Hannover,Computer Science,"Winter semester, Summer semester",none,German,English,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8935/
9,Master of Science in Computer Engineering,Master's degree,Paderborn University,Paderborn,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/
10,Computer Science for Digital Media,Master's degree,Bauhaus-Universität Weimar,Weimar,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/
11,"Computer Science, Master of Science (MSc)",Master's degree,University of Bayreuth,Bayreuth,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5245/
12,Applied Computer Science (MSc),Master's degree,Schmalkalden University of Applied Sciences,Schmalkalden,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5551/
13,Applied Computer Science (MSc),Master's degree,University of Göttingen,Göttingen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/
14,Computer Science (MSc),Master's degree,Philipps-Universität Marburg,Marburg,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9042/
15,Computer Science International (CSI),Master's degree,University of Rostock,Rostock,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7618/
16,Informatics (Computer Science) (MSc),Master's degree,Technical University Munich,Garching b. München,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3607/
17,Computer Engineering – Master of Science,Master's degree,Leibniz Universität Hannover,Hannover,Computer Science,"Winter semester, Summer semester",none,German,English,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8936/
18,Mathematics and Computer Science (MSc),Master's degree,Saarland University,Saarbrücken,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4758/
19,Computational Science and Engineering (CSE),Master's degree,Technical University Munich,Garching b. München,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3591/
20,Visual Computing,Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7670/
21,Applied Research in Computer Science (MSc),Master's degree,Hof University of Applied Sciences,Hof,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/
22,"Information Engineering and Computer Science, MSc",Master's degree,Rhine-Waal University of Applied Sciences,Kamp-Lintfort,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4490/
23,Saarbrücken Graduate School of Computer Science,Master's degree,Saarland University,Saarbrücken,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4842/
24,MSc High Performance Computing / Quantum Computing,Master's degree,Deggendorf Institute of Technology,Deggendorf,Computer Science,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7744/
25,Computer Engineering for IoT Systems,Master's degree,Nordhausen University of Applied Sciences,Nordhausen,Computer Science,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9012/
26,Scientific Computing (Elite Network of Bavaria),Master's degree,University of Bayreuth,Bayreuth,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/
27,Embedded Computing Systems (ESY),Master's degree,RPTU University of Kaiserslautern-Landau,Kaiserslautern,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3590/
28,Electrical and Computer Engineering (M Eng),Master's degree,Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8357/
29,Computational Biology and Bioinformatics,Master's degree,University of Göttingen,Göttingen,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8408/
30,Advanced Computational Methods in Civil Engineering,Master's degree,RWTH Aachen University,Aachen,Civil Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
31,Human Computer Interaction (HCI),Master's degree,University of Siegen,Siegen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4686/
32,Human-Computer Interaction (HCI),Master's degree,Bauhaus-Universität Weimar,Weimar,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4660/
33,"Computational Engineering (CE), MSc",Master's degree,FAU Erlangen-Nürnberg,Erlangen,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/
34,Computational Methods in Engineering (CoME),Master's degree,Otto von Guericke University Magdeburg,Magdeburg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9061/
35,Computational Modelling and Simulation,Master's degree,Technische Universität Dresden,Dresden,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/
36,International Master's Programme in Computational Neuroscience,Master's degree,Technische Universität Berlin,Berlin,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3885/
37,Computer Engineering – Master's Study Programme,Master's degree,RWTH Aachen University,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5226/
38,Master of Science in Data Science,Master's degree,Trier University,Trier,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5351/
